Location,ID,PANEL_clean_short,TWAS.Z,TWAS.P,COLOC.PP0,COLOC.PP1,COLOC.PP2,COLOC.PP3,COLOC.PP4,Low_PP3_0.2,Colocalised
chr7:24737972-24809244,DFNA5,GTEx ACC ,5.4559,4.87e-08,0.001,0.005,0.067,0.267,0.659,No,No
chr7:24737972-24809244,DFNA5,GTEx Caudate...,5.3638,8.15e-08,0,0.005,0,0.259,0.736,No,No
chr7:24737972-24809244,DFNA5,GTEx Frontal...,4.9985,5.78e-07,0,0.005,0.004,0.264,0.727,No,No
chr7:24737972-24809244,DFNA5,GTEx Hippoca...,4.986,6.16e-07,0,0.005,0.017,0.279,0.699,No,No
chr7:24737972-24809244,DFNA5,GTEx Nucleus...,4.86366,1.15e-06,0,0.011,0,0.599,0.39,No,No
chr7:24737972-24809244,DFNA5,GTEx Putamen...,5.016,5.28e-07,0,0.005,0,0.254,0.741,No,No
chr7:24737972-24809244,DFNA5,GTEx Pituita...,5.35,8.8e-08,0.003,0.004,0.147,0.231,0.616,No,No
chr7:24737972-24809244,DFNA5,GTEx Whole B...,5.33792,9.4e-08,0,0.018,0,0.943,0.039,No,No
chr7:32535175-33079036,AVL9,CMC DLPFC,-5.80856,6.3e-09,0,0,0.097,0.032,0.871,Yes,Yes
chr7:65540785-65558545,ASL,GTEx Putamen...,5.3547,8.57e-08,0.768,0.068,0.091,0.008,0.066,Yes,No
chr7:66147151-66273051,RABGEF1,GTEx Adrenal...,-4.9366,7.95e-07,0.634,0.219,0.051,0.018,0.078,Yes,No
chr7:73613982-73644161,LAT2,PsychENCODE,-5,5.8e-07,0.022,0.006,0.674,0.183,0.115,Yes,No
chr7:74072029-74175022,GTF2I,CMC DLPFC Sp...,-6.255391,3.97e-10,0.006,0.002,0.108,0.028,0.856,Yes,Yes
chr7:74112305-74306731,STAG3L2,GTEx Caudate...,-4.9695,6.71e-07,0.009,0.007,0.16,0.137,0.686,Yes,No
chr7:74112305-74306731,STAG3L2,GTEx Frontal...,-5.0817,3.74e-07,0.01,0.001,0.205,0.018,0.766,Yes,No
chr7:74112305-74306731,STAG3L2,GTEx Hippoca...,-4.8953,9.82e-07,0.017,0.002,0.308,0.037,0.636,Yes,No
chr7:74112305-74306731,STAG3L2,GTEx Hypotha...,-5.0871,3.64e-07,0.002,0.003,0.028,0.049,0.918,Yes,Yes
chr7:74112305-74306731,STAG3L2,GTEx Nucleus...,-6.41293,1.43e-10,0.001,0.001,0.015,0.014,0.969,Yes,Yes
chr7:74112305-74306731,STAG3L2,GTEx Putamen...,-5.1641,2.42e-07,0.028,0.001,0.508,0.018,0.445,Yes,No
chr7:74210483-74267847,GTF2IRD2,GTEx Cerebel...,5.3663,8.04e-08,0.008,0.002,0.154,0.028,0.808,Yes,Yes
chr7:74210483-74267847,GTF2IRD2,GTEx Cerebel...,5.285,1.26e-07,0.034,0.001,0.623,0.012,0.33,Yes,No
chr7:74210483-74267847,GTF2IRD2,GTEx Cortex,5.5123,3.54e-08,0.017,0,0.312,0.007,0.664,Yes,No
chr7:74210483-74267847,GTF2IRD2,GTEx Nucleus...,5.94164,2.82e-09,0.018,0.002,0.321,0.036,0.624,Yes,No
chr7:74306893-74336166,PMS2P5,CMC DLPFC Sp...,-4.841257,1.29e-06,0.007,0.031,0.123,0.551,0.289,No,No
chr7:74320406-74331163,AC004166.6,GTEx Putamen...,5.8313,5.5e-09,0.042,0.001,0.734,0.02,0.202,Yes,No
chr7:74441226-74490064,WBSCR16,GTEx Hippoca...,-5.6939,1.24e-08,0.077,0.001,0.251,0.003,0.668,Yes,No
chr7:74441226-74490064,WBSCR16,GTEx Thyroid,-6.08689,1.15e-09,0.007,0.01,0.023,0.033,0.927,Yes,Yes
chr7:74508364-74565623,GTF2IRD2B,GTEx Thyroid,4.937,7.93e-07,0.111,0.005,0.352,0.015,0.516,Yes,No
chr7:75528518-75616154,POR,GTEx Pituita...,-5.9553,2.6e-09,0.001,0,0.117,0.039,0.843,Yes,Yes
chr7:75528518-75616154,POR,GTEx Whole B...,-5.341,9.24e-08,0,0.001,0.001,0.18,0.818,Yes,Yes
chr7:75528518-75616173,POR,YFS Blood,-4.8303,1.36e-06,0,0.005,0,0.982,0.013,No,No
chr7:75625654-75677321,STYXL1,CMC DLPFC Sp...,5.756163,8.6e-09,0,0,0,0.036,0.964,Yes,Yes
chr7:75625654-75677321,STYXL1,CMC DLPFC Sp...,-5.535376,3.11e-08,0,0,0,0.033,0.966,Yes,Yes
chr7:75625654-75677321,STYXL1,CMC DLPFC Sp...,-5.533,3.15e-08,0,0,0.001,0.071,0.928,Yes,Yes
chr7:75625654-75677321,STYXL1,CMC DLPFC Sp...,-5.617,1.94e-08,0,0,0,0.045,0.954,Yes,Yes
chr7:75677369-75696826,MDH2,GTEx Thyroid,5.569,2.56e-08,0.002,0,0.285,0.044,0.669,Yes,No
chr7:75677392-75695930,MDH2,CMC DLPFC Sp...,-5.664,1.48e-08,0,0,0,0.035,0.965,Yes,Yes
chr7:75700787-75704281,AC005077.14,GTEx Thyroid,-5.50798,3.63e-08,0,0,0.001,0.036,0.962,Yes,Yes
chr7:82383329-82792246,PCLO,GTEx Nucleus...,-6.35756,2.05e-10,0,0,0.338,0.037,0.625,Yes,No
chr7:87563458-87832204,ADAM22,GTEx Thyroid,-4.91176,9.03e-07,0.282,0.676,0.01,0.024,0.007,Yes,No
chr7:99775186-99819111,STAG3,PsychENCODE,5.2,1.98e-07,0.66,0.061,0.178,0.016,0.085,Yes,No
chr7:99798276-99844171,GATS,GTEx Caudate...,5.3899,7.05e-08,0.244,0.277,0.02,0.022,0.437,Yes,No
chr7:99798276-99844171,GATS,GTEx Cerebel...,4.9539,7.27e-07,0.034,0.417,0.003,0.034,0.513,Yes,No
chr7:99798277-99869855,GATS,CMC DLPFC Sp...,5.156039,2.52e-07,0.326,0.223,0.027,0.018,0.406,Yes,No
chr7:104581510-104602781,RP11-325F22.2,GTEx Whole B...,6.3112,2.77e-10,0,0,0,0.033,0.967,Yes,Yes
chr7:108110865-108168605,PNPLA8,CMC DLPFC Sp...,5.083,3.72e-07,0,0,0,0.921,0.078,No,No
chr7:108110865-108168605,PNPLA8,CMC DLPFC Sp...,-5.589,2.28e-08,0,0,0,0.441,0.559,No,No
chr7:108110865-108168605,PNPLA8,CMC DLPFC Sp...,5.589,2.28e-08,0,0,0,0.441,0.559,No,No
chr7:108194987-108209897,THAP5,GTEx Adrenal...,-6.344,2.24e-10,0,0,0.027,0.008,0.965,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Amygdal...,-6.405,1.5e-10,0,0,0.079,0.007,0.914,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx ACC ,-6.261,3.83e-10,0,0,0,0.014,0.986,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Caudate...,-6.4624,1.03e-10,0,0,0,0.005,0.995,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Cerebel...,-6.9576,3.46e-12,0,0,0,0.005,0.995,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Cerebel...,-6.472,9.67e-11,0,0,0,0.003,0.997,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Cortex,-6.472,9.67e-11,0,0,0,0.003,0.997,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Frontal...,-5.7003,1.2e-08,0,0,0.004,0.007,0.988,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Hippoca...,-5.3063,1.12e-07,0,0,0,0.008,0.992,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Hypotha...,-6.3465,2.2e-10,0,0,0.2,0.031,0.769,Yes,No
chr7:108194987-108209897,THAP5,GTEx Nucleus...,-6.24,4.38e-10,0,0,0,0.016,0.984,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Putamen...,-6.472,9.67e-11,0,0,0.001,0.003,0.996,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Pituita...,-6.6959,2.14e-11,0,0,0,0.006,0.994,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Thyroid,-6.37709,1.8e-10,0,0,0,0.005,0.995,Yes,Yes
chr7:108194987-108209897,THAP5,GTEx Whole B...,-5.01,5.44e-07,0,0,0.026,0.918,0.055,No,No
chr7:108210012-108215294,DNAJB9,PsychENCODE,-5.55,2.81e-08,0,0,0,0.035,0.965,Yes,Yes
chr7:110303105-111202573,IMMP2L,CMC DLPFC Sp...,-5.208,1.91e-07,0,0,0.877,0.097,0.026,Yes,No
chr7:110303110-111202573,IMMP2L,GTEx Adrenal...,5.264,1.41e-07,0,0,0.66,0.31,0.03,No,No
chr7:110303110-111202573,IMMP2L,PsychENCODE,5.11,3.23e-07,0,0,0.006,0.36,0.634,No,No
chr7:110303110-111202573,IMMP2L,GTEx Thyroid,5.32128,1.03e-07,0,0,0,0.953,0.047,No,No
chr7:110303110-111202573,IMMP2L,GTEx Whole B...,4.878,1.07e-06,0,0,0.458,0.527,0.015,No,No
chr7:110303110-111202573,IMMP2L,YFS Blood,6.2338,4.55e-10,0,0,0,1,0,No,No
chr7:110731061-110765509,LRRN3,CMC DLPFC Sp...,-5.631765,1.78e-08,0,0,0,1,0,No,No
chr7:110731061-110765509,LRRN3,CMC DLPFC Sp...,5.563,2.65e-08,0,0,0,1,0,No,No
chr7:110731061-110765509,LRRN3,CMC DLPFC Sp...,-5.563,2.65e-08,0,0,0,1,0,No,No
chr7:111366166-111846466,DOCK4,PsychENCODE,6.95,3.65e-12,0,0,0,0.044,0.956,Yes,Yes
chr7:113726382-114333827,FOXP2,GTEx Pituita...,-5.3064,1.12e-07,0,0,0,0.996,0.004,No,No
chr7:117350705-117513561,CTTNBP2,CMC DLPFC,-5.5103,3.58e-08,0,0,0.264,0.036,0.7,Yes,No
chr7:117350705-117514193,CTTNBP2,PsychENCODE,-5.84,5.12e-09,0,0,0.018,0.162,0.82,Yes,Yes
chr7:117824085-117844093,NAA38,CMC DLPFC,-4.943,7.69e-07,0,0,0,0.99,0.009,No,No
chr7:117824086-117832878,NAA38,GTEx Caudate...,5.2392,1.61e-07,0,0,0.563,0.357,0.079,No,No
chr7:117824086-117832878,NAA38,GTEx Frontal...,4.859,1.18e-06,0,0,0.921,0.031,0.048,Yes,No
chr7:117854727-117882785,ANKRD7,GTEx Cerebel...,-5.0071,5.53e-07,0,0,0.803,0.116,0.081,Yes,No
chr7:117854727-117882785,ANKRD7,GTEx Pituita...,-4.844,1.27e-06,0,0,0.912,0.045,0.043,Yes,No
chr7:117864711-117882784,ANKRD7,CMC DLPFC Sp...,-5.12,3.06e-07,0,0,0.9,0.072,0.028,Yes,No
chr7:117864711-117882784,ANKRD7,CMC DLPFC Sp...,5.12,3.06e-07,0,0,0.895,0.077,0.028,Yes,No
chr7:124800028-124800601,RP11-3B12.4,GTEx Thyroid,-5.16567,2.4e-07,0.047,0.054,0.063,0.072,0.765,Yes,No
chr7:133812052-133949343,LRGUK,GTEx Adrenal...,5.0023,5.67e-07,0,0.001,0,0,0.998,Yes,Yes
chr7:133812052-133949343,LRGUK,GTEx Pituita...,6.5706,5.01e-11,0.001,0.002,0.001,0.001,0.995,Yes,Yes
chr7:133812052-133949343,LRGUK,GTEx Thyroid,5.1827,2.19e-07,0,0.105,0,0.142,0.753,Yes,No
chr7:133812052-133949343,LRGUK,GTEx Whole B...,6.18288,6.29e-10,0,0.001,0,0,0.999,Yes,Yes
chr7:136912088-137028611,PTN,PsychENCODE,4.84,1.31e-06,0,0.044,0,0.782,0.174,No,No
chr7:137559725-137686813,CREB3L2,PsychENCODE,4.99,5.97e-07,0,0.02,0,0.351,0.629,No,No
chr7:140152840-140179369,MKRN1,PsychENCODE,-6,2.01e-09,0,0.006,0,0.959,0.035,No,No
chr7:140424943-140624564,BRAF,YFS Blood,-5.998,2e-09,0,0,0.002,0.017,0.981,Yes,Yes
chr7:140705854-140715028,MRPS33,PsychENCODE,5.38,7.27e-08,0,0.001,0,0.739,0.26,No,No
chr7:140705854-140715028,MRPS33,GTEx Thyroid,5.37915,7.48e-08,0,0,0.003,0.234,0.762,No,No
chr7:140705960-140714781,MRPS33,CMC DLPFC Sp...,-5.926,3.1e-09,0,0,0.046,0.026,0.928,Yes,Yes
chr7:140774032-141180180,TMEM178B,GTEx Adrenal...,5.404,6.52e-08,0,0.001,0.084,0.323,0.592,No,No
chr7:140774032-141180180,TMEM178B,PsychENCODE,5.35,8.94e-08,0.001,0,0.739,0.11,0.15,Yes,No
chr7:144149033-144533146,TPK1,NTR Blood,5.023,5.09e-07,0.011,0.006,0.023,0.012,0.948,Yes,Yes
chr8:10332075-10339484,RP11-981G7.2,GTEx Substan...,-4.884,1.04e-06,0.346,0.058,0.34,0.057,0.199,Yes,No
chr8:22298332-22398357,PPP3CC,GTEx Caudate...,5.027,4.98e-07,0.001,0.005,0.022,0.098,0.874,Yes,Yes
chr8:22298332-22398357,PPP3CC,GTEx Cerebel...,5.1812,2.21e-07,0.001,0.002,0.017,0.034,0.946,Yes,Yes
chr8:22298332-22398357,PPP3CC,GTEx Cortex,5.418,6.03e-08,0.007,0.001,0.133,0.015,0.844,Yes,Yes
chr8:22298332-22398357,PPP3CC,GTEx Hypotha...,4.95,7.42e-07,0.035,0.003,0.635,0.057,0.27,Yes,No
chr8:22298332-22398652,PPP3CC,PsychENCODE,4.97289,6.6e-07,0,0.004,0,0.064,0.932,Yes,Yes
chr8:22298332-22398357,PPP3CC,GTEx Pituita...,5.243,1.58e-07,0.001,0.002,0.026,0.034,0.936,Yes,Yes
chr8:22298482-22398657,PPP3CC,CMC DLPFC,5.03501,4.78e-07,0,0.002,0,0.033,0.966,Yes,Yes
chr8:22298482-22398657,PPP3CC,CMC DLPFC Sp...,-5.068,4.02e-07,0.015,0.003,0.283,0.061,0.637,Yes,No
chr8:22402499-22433301,SORBS3,PsychENCODE,-5.029,4.93e-07,0,0.006,0,0.077,0.918,Yes,Yes
chr8:37716136-37756985,RAB11FIP1,GTEx Nucleus...,5.2808,1.29e-07,0.029,0.001,0.55,0.022,0.397,Yes,No
chr8:37888019-37917883,EIF4EBP1,CMC DLPFC,5.04759,4.47e-07,0.022,0.001,0.723,0.041,0.212,Yes,No
chr8:38082736-38120351,DDHD2,GTEx Adrenal...,-5.3889,7.09e-08,0,0.002,0,0.055,0.943,Yes,Yes
chr8:38082736-38120351,DDHD2,GTEx Cortex,-5.519,3.41e-08,0.013,0,0.408,0.013,0.566,Yes,No
chr8:38082736-38120351,DDHD2,GTEx Pituita...,-5.202,1.97e-07,0,0.002,0.001,0.074,0.923,Yes,Yes
chr8:38082736-38120351,DDHD2,GTEx Thyroid,-5.04417,4.56e-07,0,0.002,0,0.066,0.932,Yes,Yes
chr8:38089008-38120287,DDHD2,CMC DLPFC,-5.486,4.11e-08,0,0.001,0.001,0.017,0.982,Yes,Yes
chr8:38120648-38126761,PPAPDC1B,GTEx Cerebel...,-5.196,2.04e-07,0.001,0.002,0.018,0.075,0.904,Yes,Yes
chr8:38239882-38240979,RP11-350N15.5,PsychENCODE,5.567,2.59e-08,0.001,0,0.072,0.029,0.899,Yes,Yes
chr8:38268655-38326352,FGFR1,CMC DLPFC Sp...,5.629,1.81e-08,0,0,0.008,0.007,0.985,Yes,Yes
chr8:38268656-38326352,FGFR1,GTEx Whole B...,5.12216,3.02e-07,0,0.006,0,0.19,0.804,Yes,Yes
chr8:38279460-38283614,RP11-350N15.4,GTEx Cerebel...,4.8821,1.05e-06,0.023,0.001,0.747,0.034,0.195,Yes,No
chr8:38291865-38293182,RPS20P22,GTEx Cerebel...,-5.1958,2.04e-07,0,0.001,0.01,0.029,0.96,Yes,Yes
chr8:41518509-41523084,RP11-930P14.1,GTEx Cerebel...,-5.7068,1.15e-08,0.852,0.068,0.056,0.004,0.02,Yes,No
chr8:52232136-52722005,PXDNL,CMC DLPFC,6.87164,6.35e-12,0.082,0.017,0.287,0.059,0.556,Yes,No
chr8:63927638-63951730,GGH,GTEx ACC ,5.363,8.18e-08,0.221,0.113,0.361,0.185,0.121,Yes,No
chr8:65492814-65496181,BHLHE22,GTEx ACC ,-5.1016,3.37e-07,0,0,0.692,0.091,0.217,Yes,No
chr8:65508528-65711348,CYP7B1,CMC DLPFC,-7.89437,2.92e-15,0,0,0,0.061,0.939,Yes,Yes
chr8:65713793-65730130,RP11-1D12.2,GTEx Whole B...,6.52494,6.8e-11,0,0,0,0.96,0.039,No,No
chr8:66439243-66475015,CTD-3025N20.2,GTEx Caudate...,4.88086,1.06e-06,0,0.008,0,0.006,0.985,Yes,Yes
chr8:66439243-66475015,CTD-3025N20.2,GTEx Cortex,5.058,4.24e-07,0,0.005,0,0.003,0.991,Yes,Yes
chr8:66439243-66475015,CTD-3025N20.2,GTEx Hypotha...,5.058,4.24e-07,0.019,0.005,0.016,0.004,0.957,Yes,Yes
chr8:66439243-66475015,CTD-3025N20.2,GTEx Putamen...,5.2196,1.79e-07,0,0.016,0,0.013,0.971,Yes,Yes
chr8:66504085-66504707,CTD-3025N20.3,GTEx Substan...,5.065,4.08e-07,0.105,0.041,0.089,0.034,0.732,Yes,No
chr8:80676245-80680098,HEY1,GTEx Hypotha...,5.032,4.85e-07,0.185,0.006,0.407,0.013,0.389,Yes,No
chr8:90914087-90940116,OSGIN2,GTEx ACC ,-4.8562,1.2e-06,0.241,0.145,0.292,0.176,0.145,Yes,No
chr8:92082424-92099323,OTUD6B,GTEx Thyroid,-4.93995,7.81e-07,0.001,0,0.755,0.028,0.216,Yes,No
chr8:103265240-103425069,UBR5,YFS Blood,-5.471,4.48e-08,0,0.044,0,0.02,0.937,Yes,Yes
chr9:13406379-13433052,RP11-536O18.2,GTEx Hypotha...,-6.9503,3.65e-12,0,0,0.136,0.022,0.842,Yes,Yes
chr9:14555480-14693480,ZDHHC21,CMC DLPFC Sp...,-5.21729,1.82e-07,0,0,0,0.992,0.008,No,No
chr9:14588795-14590063,RP11-408A13.4,GTEx Adrenal...,5.999,1.99e-09,0,0,0.226,0.086,0.688,Yes,No
chr9:14588795-14590063,RP11-408A13.4,GTEx Caudate...,6.352,2.13e-10,0,0,0,0.005,0.995,Yes,Yes
chr9:14588795-14590063,RP11-408A13.4,GTEx Cerebel...,6.5371,6.27e-11,0,0,0.006,0.246,0.748,No,No
chr9:14588795-14590063,RP11-408A13.4,GTEx Cerebel...,6.0272,1.67e-09,0,0,0,0.715,0.285,No,No
chr9:14588795-14590063,RP11-408A13.4,GTEx Nucleus...,5.5581,2.73e-08,0,0,0.032,0.596,0.371,No,No
chr9:14588795-14590063,RP11-408A13.4,PsychENCODE,5.07456,3.88e-07,0,0,0,1,0,No,No
chr9:14588795-14590063,RP11-408A13.4,GTEx Thyroid,5.32213,1.03e-07,0,0,0,0.982,0.018,No,No
chr9:14588795-14590063,RP11-408A13.4,GTEx Whole B...,5.014,5.33e-07,0,0,0.049,0.918,0.033,No,No
chr9:14593575-14594198,RP11-408A13.1,GTEx Thyroid,5.59582,2.2e-08,0,0,0.009,0.015,0.976,Yes,Yes
chr9:34211973-34329198,KIF24,CMC DLPFC,4.891,1e-06,0,0.012,0,0.005,0.983,Yes,Yes
chr9:37438111-37465396,ZBTB5,GTEx Adrenal...,7.636,2.24e-14,0,0,0.779,0.158,0.063,Yes,No
chr9:37485932-37503694,POLR1E,GTEx Cerebel...,-4.9631,6.94e-07,0,0,0.644,0.067,0.289,Yes,No
chr9:37485932-37503694,POLR1E,PsychENCODE,-6.09808,1.07e-09,0,0,0,1,0,No,No
chr9:37485944-37503693,POLR1E,CMC DLPFC,-5.642,1.68e-08,0,0,0.159,0.836,0.005,No,No
chr9:37485944-37503693,POLR1E,CMC DLPFC Sp...,-4.90492,9.35e-07,0,0,0,1,0,No,No
chr9:37485944-37503693,POLR1E,CMC DLPFC Sp...,5.74283,9.31e-09,0,0,0.529,0.44,0.031,No,No
chr9:37490418-37490890,RP11-405L18.4,GTEx Adrenal...,5.172,2.32e-07,0,0,0.001,0.998,0,No,No
chr9:37510888-37588929,FBXO10,CMC DLPFC,-8.3883,4.93e-17,0,0,0.457,0.497,0.047,No,No
chr9:37510889-37588871,FBXO10,PsychENCODE,-5.50496,3.69e-08,0,0,0.073,0.916,0.011,No,No
chr9:37800499-37867663,DCAF10,GTEx Substan...,7.172,7.38e-13,0,0,0.675,0.044,0.28,Yes,No
chr9:91926112-91931618,CKS2,CMC DLPFC,-5.797,6.75e-09,0,0,0,0,1,Yes,Yes
chr9:91926113-91931618,CKS2,GTEx Cerebel...,-5.797,6.75e-09,0,0,0,0,1,Yes,Yes
chr9:91926113-91931618,CKS2,GTEx Frontal...,-5.797,6.75e-09,0,0,0,0,1,Yes,Yes
chr9:91926113-91931618,CKS2,PsychENCODE,-5.59308,2.23e-08,0,0,0,0.002,0.997,Yes,Yes
chr9:91926113-91931618,CKS2,GTEx Thyroid,-5.29477,1.19e-07,0.006,0.052,0.066,0.567,0.309,No,No
chr9:91926113-91931618,CKS2,GTEx Whole B...,-5.797,6.75e-09,0,0,0.004,0,0.995,Yes,Yes
chr9:91926113-91931618,CKS2,YFS Blood,-5.5762,2.46e-08,0,0,0,0,1,Yes,Yes
chr9:91975702-92113045,SEMA4D,GTEx Cortex,-5.22989,1.7e-07,0.057,0.007,0.625,0.073,0.238,Yes,No
chr9:92219928-92221470,GADD45G,YFS Blood,5.252,1.5e-07,0.068,0.012,0.736,0.131,0.053,Yes,No
chr9:96192624-96193581,RP11-165J3.5,GTEx Cerebel...,7.24629,4.28e-13,0,0,0,0.022,0.978,Yes,Yes
chr9:96197614-96199403,RP11-165J3.6,GTEx ACC ,6.39903,1.56e-10,0,0,0.003,0.013,0.983,Yes,Yes
chr9:96197614-96199403,RP11-165J3.6,GTEx Caudate...,4.931,8.18e-07,0,0,0.004,0.029,0.967,Yes,Yes
chr9:96197614-96199403,RP11-165J3.6,GTEx Cerebel...,6.73736,1.61e-11,0,0,0,0.025,0.975,Yes,Yes
chr9:96197614-96199403,RP11-165J3.6,GTEx Cortex,6.27299,3.54e-10,0,0,0,0.003,0.996,Yes,Yes
chr9:96197614-96199403,RP11-165J3.6,PsychENCODE,5.70936,1.13e-08,0,0,0,0.937,0.063,No,No
chr9:96197614-96199403,RP11-165J3.6,GTEx Pituita...,5.605,2.08e-08,0,0,0,0.056,0.944,Yes,Yes
chr9:96197614-96199403,RP11-165J3.6,GTEx Thyroid,6.53078,6.54e-11,0,0,0,0.076,0.924,Yes,Yes
chr9:96208776-96215874,FAM120AOS,YFS Blood,-5.8051,6.43e-09,0,0,0.03,0.041,0.928,Yes,Yes
chr9:96208781-96215874,FAM120AOS,CMC DLPFC Sp...,5.3254,1.01e-07,0,0,0,0.057,0.943,Yes,Yes
chr9:98205262-98279339,PTCH1,GTEx Whole B...,7.46529,8.31e-14,0,0,0,0.024,0.975,Yes,Yes
chr9:98205262-98279339,PTCH1,YFS Blood,7.439,1.01e-13,0,0,0,0.05,0.95,Yes,Yes
chr9:98205263-98279339,PTCH1,NTR Blood,5.8934,3.78e-09,0,0,0,0.021,0.979,Yes,Yes
chr9:109625378-109775915,ZNF462,GTEx Cortex,-4.99865,5.77e-07,0.423,0.033,0.403,0.031,0.111,Yes,No
chr9:109625378-109775915,ZNF462,GTEx Thyroid,-5.66912,1.44e-08,0,0.434,0,0.413,0.153,No,No
chr9:114935802-114936251,RP11-165N19.2,PsychENCODE,-4.859,1.18e-06,0.001,0.003,0.108,0.64,0.248,No,No
chr9:114980715-115095947,PTBP3,GTEx Cerebel...,-5.423,5.86e-08,0.002,0.001,0.09,0.041,0.866,Yes,Yes
chr9:120410884-120419305,RP11-500B12.1,GTEx Caudate...,4.8358,1.33e-06,0,0,0.116,0.868,0.016,No,No
chr9:120466459-120479768,TLR4,NTR Blood,-5.582,2.38e-08,0,0,0,1,0,No,No
chr9:120466610-120479149,TLR4,GTEx Whole B...,-5.582,2.38e-08,0,0,0,1,0,No,No
chr9:120466610-120479149,TLR4,YFS Blood,-6.624,3.5e-11,0,0,0,1,0,No,No
chr9:120545726-120630349,RP11-281A20.2,GTEx Cerebel...,-6.509,7.57e-11,0,0,0.243,0.745,0.013,No,No
chr9:120545726-120630349,RP11-281A20.2,GTEx Whole B...,-5.98983,2.1e-09,0,0,0.221,0.486,0.293,No,No
chr9:125670335-125675609,ZBTB6,PsychENCODE,-5.315,1.07e-07,0,0,0.238,0.633,0.129,No,No
chr9:125703111-125867147,RABGAP1,CMC DLPFC,5.1143,3.15e-07,0,0.001,0,0.454,0.545,No,No
chr9:125703111-125867147,RABGAP1,CMC DLPFC Sp...,5.40849,6.36e-08,0,0.001,0,0.489,0.51,No,No
chr9:125703112-125867145,RABGAP1,GTEx Adrenal...,5.994,2.05e-09,0,0,0.152,0.022,0.825,Yes,Yes
chr9:125703112-125867145,RABGAP1,GTEx ACC ,4.86209,1.16e-06,0,0,0.343,0.036,0.621,Yes,No
chr9:125703112-125867145,RABGAP1,PsychENCODE,4.90535,9.33e-07,0,0,0,0.529,0.471,No,No
chr9:125703112-125867145,RABGAP1,GTEx Whole B...,4.90751,9.22e-07,0,0,0.193,0.091,0.715,Yes,No
chr9:126141933-126692431,DENND1A,PsychENCODE,5.287,1.24e-07,0,0,0.046,0.811,0.142,No,No
chr9:127615755-127620158,WDR38,GTEx Substan...,5.184,2.17e-07,0.024,0.001,0.867,0.019,0.09,Yes,No
chr9:127640646-127703378,GOLGA1,GTEx Cerebel...,-5.3792,7.48e-08,0.007,0.003,0.243,0.095,0.653,Yes,No
chr9:127640646-127703378,GOLGA1,GTEx Cerebel...,-5.11427,3.15e-07,0.002,0.017,0.064,0.626,0.291,No,No
chr9:127704887-127905775,SCAI,GTEx Adrenal...,5.436,5.45e-08,0.001,0.001,0.038,0.024,0.936,Yes,Yes
chr9:127704887-127905775,SCAI,GTEx Cerebel...,4.87919,1.07e-06,0.012,0.005,0.425,0.185,0.373,Yes,No
chr9:127704887-127905775,SCAI,GTEx Thyroid,4.84796,1.25e-06,0,0.023,0.005,0.831,0.141,No,No
chr9:127908852-127952218,PPP6C,GTEx Hypotha...,5.4626,4.69e-08,0.005,0.001,0.178,0.05,0.766,Yes,No
chr9:127908852-127952429,PPP6C,NTR Blood,5.353,8.65e-08,0,0.004,0,0.145,0.85,Yes,Yes
chr9:127908852-127952218,PPP6C,PsychENCODE,4.9724,6.61e-07,0,0.003,0,0.281,0.716,No,No
chr9:127908852-127952218,PPP6C,GTEx Thyroid,5.27358,1.34e-07,0,0.002,0.005,0.072,0.921,Yes,Yes
chr9:127908852-127952218,PPP6C,GTEx Whole B...,5.5478,2.89e-08,0.001,0.003,0.034,0.119,0.843,Yes,Yes
chr9:127912932-127913868,PRPS1P2,GTEx Cerebel...,-5.2823,1.28e-07,0,0.002,0.014,0.079,0.904,Yes,Yes
chr9:127912932-127913868,PRPS1P2,GTEx Cerebel...,-5.28514,1.26e-07,0,0.002,0.007,0.063,0.928,Yes,Yes
chr9:127912932-127913868,PRPS1P2,GTEx Frontal...,-4.98863,6.08e-07,0.01,0.002,0.342,0.073,0.573,Yes,No
chr9:127912932-127913868,PRPS1P2,PsychENCODE,-5.087,3.64e-07,0,0.003,0,0.28,0.717,No,No
chr9:127912932-127913868,PRPS1P2,GTEx Pituita...,-5.3073,1.11e-07,0.001,0.002,0.024,0.077,0.896,Yes,Yes
chr9:127962821-127996437,RABEPK,GTEx Whole B...,5.024,5.06e-07,0,0.005,0,0.181,0.814,Yes,Yes
chr9:127962821-127996437,RABEPK,YFS Blood,5.3748,7.67e-08,0,0.005,0,0.195,0.8,Yes,No
chr9:128024110-128127290,GAPVD1,CMC DLPFC Sp...,5.247,1.55e-07,0,0.002,0.001,0.065,0.932,Yes,Yes
